reading text file
WARNING:tensorflow:From /root/word-rnn-tensorflow/model.py:27: __init__ (from tensorflow.python.ops.rnn_cell_impl) is deprecated and will be removed in a future version.
Instructions for updating:
This class is deprecated, please use tf.nn.rnn_cell.LSTMCell, which supports all the feature this cell currently has. Please replace the existing code with tf.nn.rnn_cell.LSTMCell(name='basic_lstm_cell').
2019-01-14 16:30:12.417592: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
0/28300 (epoch 0), train_loss = 10.924, time/batch = 2.482
model saved to save/model.ckpt
50/28300 (epoch 0), train_loss = 7.838, time/batch = 2.196
100/28300 (epoch 0), train_loss = 7.922, time/batch = 2.222
150/28300 (epoch 0), train_loss = 8.111, time/batch = 2.139
200/28300 (epoch 0), train_loss = 7.975, time/batch = 2.140
250/28300 (epoch 0), train_loss = 8.022, time/batch = 1.963
300/28300 (epoch 0), train_loss = 7.752, time/batch = 2.133
350/28300 (epoch 0), train_loss = 7.758, time/batch = 2.053
400/28300 (epoch 0), train_loss = 7.870, time/batch = 2.148
450/28300 (epoch 0), train_loss = 7.728, time/batch = 2.179
500/28300 (epoch 0), train_loss = 7.689, time/batch = 2.243
550/28300 (epoch 0), train_loss = 8.132, time/batch = 2.124
600/28300 (epoch 1), train_loss = 7.843, time/batch = 2.153
650/28300 (epoch 1), train_loss = 7.749, time/batch = 2.078
700/28300 (epoch 1), train_loss = 7.649, time/batch = 2.132
750/28300 (epoch 1), train_loss = 7.748, time/batch = 2.140
800/28300 (epoch 1), train_loss = 7.895, time/batch = 2.180
850/28300 (epoch 1), train_loss = 7.817, time/batch = 2.091
900/28300 (epoch 1), train_loss = 7.622, time/batch = 2.203
950/28300 (epoch 1), train_loss = 7.762, time/batch = 2.196
1000/28300 (epoch 1), train_loss = 7.777, time/batch = 2.221
model saved to save/model.ckpt
1050/28300 (epoch 1), train_loss = 7.744, time/batch = 2.169
1100/28300 (epoch 1), train_loss = 7.772, time/batch = 2.186
1150/28300 (epoch 2), train_loss = 7.814, time/batch = 2.175
1200/28300 (epoch 2), train_loss = 7.581, time/batch = 2.217
1250/28300 (epoch 2), train_loss = 7.463, time/batch = 2.239
1300/28300 (epoch 2), train_loss = 7.220, time/batch = 2.198
1350/28300 (epoch 2), train_loss = 7.168, time/batch = 2.205
1400/28300 (epoch 2), train_loss = 6.924, time/batch = 2.186
1450/28300 (epoch 2), train_loss = 6.956, time/batch = 2.130
1500/28300 (epoch 2), train_loss = 7.175, time/batch = 2.048
1550/28300 (epoch 2), train_loss = 6.957, time/batch = 2.196
1600/28300 (epoch 2), train_loss = 6.739, time/batch = 2.114
1650/28300 (epoch 2), train_loss = 6.903, time/batch = 2.128
1700/28300 (epoch 3), train_loss = 6.685, time/batch = 2.094
1750/28300 (epoch 3), train_loss = 6.766, time/batch = 2.064
1800/28300 (epoch 3), train_loss = 6.616, time/batch = 2.176
1850/28300 (epoch 3), train_loss = 6.532, time/batch = 2.167
1900/28300 (epoch 3), train_loss = 6.422, time/batch = 2.130
1950/28300 (epoch 3), train_loss = 6.431, time/batch = 2.167
2000/28300 (epoch 3), train_loss = 6.407, time/batch = 2.201
model saved to save/model.ckpt
2050/28300 (epoch 3), train_loss = 6.384, time/batch = 2.215
2100/28300 (epoch 3), train_loss = 6.416, time/batch = 2.147
2150/28300 (epoch 3), train_loss = 6.473, time/batch = 2.199
2200/28300 (epoch 3), train_loss = 6.099, time/batch = 2.184
2250/28300 (epoch 3), train_loss = 6.416, time/batch = 2.173
2300/28300 (epoch 4), train_loss = 6.248, time/batch = 2.234
2350/28300 (epoch 4), train_loss = 6.089, time/batch = 2.161
2400/28300 (epoch 4), train_loss = 6.014, time/batch = 1.965
2450/28300 (epoch 4), train_loss = 6.135, time/batch = 2.199
2500/28300 (epoch 4), train_loss = 6.074, time/batch = 2.192
2550/28300 (epoch 4), train_loss = 6.241, time/batch = 2.175
2600/28300 (epoch 4), train_loss = 5.918, time/batch = 2.127
2650/28300 (epoch 4), train_loss = 5.838, time/batch = 2.226
2700/28300 (epoch 4), train_loss = 5.858, time/batch = 2.241
2750/28300 (epoch 4), train_loss = 6.008, time/batch = 2.190
2800/28300 (epoch 4), train_loss = 6.008, time/batch = 2.195
2850/28300 (epoch 5), train_loss = 6.222, time/batch = 2.181
2900/28300 (epoch 5), train_loss = 5.944, time/batch = 2.204
2950/28300 (epoch 5), train_loss = 6.029, time/batch = 2.176
3000/28300 (epoch 5), train_loss = 5.739, time/batch = 2.186
model saved to save/model.ckpt
3050/28300 (epoch 5), train_loss = 5.991, time/batch = 2.094
3100/28300 (epoch 5), train_loss = 5.833, time/batch = 2.200
3150/28300 (epoch 5), train_loss = 5.796, time/batch = 2.163
3200/28300 (epoch 5), train_loss = 5.682, time/batch = 2.077
3250/28300 (epoch 5), train_loss = 5.618, time/batch = 2.218
3300/28300 (epoch 5), train_loss = 5.615, time/batch = 2.140
3350/28300 (epoch 5), train_loss = 5.778, time/batch = 2.205
3400/28300 (epoch 6), train_loss = 5.641, time/batch = 2.251
3450/28300 (epoch 6), train_loss = 5.780, time/batch = 2.175
3500/28300 (epoch 6), train_loss = 5.762, time/batch = 2.151
3550/28300 (epoch 6), train_loss = 5.494, time/batch = 2.114
3600/28300 (epoch 6), train_loss = 5.729, time/batch = 2.164
3650/28300 (epoch 6), train_loss = 5.659, time/batch = 2.185
3700/28300 (epoch 6), train_loss = 5.465, time/batch = 2.285
3750/28300 (epoch 6), train_loss = 5.554, time/batch = 2.175
3800/28300 (epoch 6), train_loss = 5.456, time/batch = 2.159
3850/28300 (epoch 6), train_loss = 5.399, time/batch = 2.236
3900/28300 (epoch 6), train_loss = 5.504, time/batch = 2.211
3950/28300 (epoch 6), train_loss = 5.500, time/batch = 2.184
4000/28300 (epoch 7), train_loss = 5.659, time/batch = 2.159
model saved to save/model.ckpt
4050/28300 (epoch 7), train_loss = 5.528, time/batch = 2.139
4100/28300 (epoch 7), train_loss = 5.417, time/batch = 2.139
4150/28300 (epoch 7), train_loss = 5.391, time/batch = 2.084
4200/28300 (epoch 7), train_loss = 5.310, time/batch = 2.155
4250/28300 (epoch 7), train_loss = 5.354, time/batch = 2.190
4300/28300 (epoch 7), train_loss = 5.339, time/batch = 2.193
4350/28300 (epoch 7), train_loss = 5.136, time/batch = 2.187
4400/28300 (epoch 7), train_loss = 5.428, time/batch = 2.169
4450/28300 (epoch 7), train_loss = 5.173, time/batch = 2.203
4500/28300 (epoch 7), train_loss = 5.202, time/batch = 2.070
4550/28300 (epoch 8), train_loss = 5.291, time/batch = 2.254
4600/28300 (epoch 8), train_loss = 5.269, time/batch = 2.128
4650/28300 (epoch 8), train_loss = 5.302, time/batch = 2.257
4700/28300 (epoch 8), train_loss = 5.175, time/batch = 2.070
4750/28300 (epoch 8), train_loss = 5.210, time/batch = 2.178
4800/28300 (epoch 8), train_loss = 5.183, time/batch = 2.212
4850/28300 (epoch 8), train_loss = 5.010, time/batch = 2.182
4900/28300 (epoch 8), train_loss = 5.115, time/batch = 2.188
4950/28300 (epoch 8), train_loss = 5.140, time/batch = 2.160
5000/28300 (epoch 8), train_loss = 5.126, time/batch = 2.175
model saved to save/model.ckpt
5050/28300 (epoch 8), train_loss = 5.220, time/batch = 2.184
5100/28300 (epoch 9), train_loss = 5.182, time/batch = 2.139
5150/28300 (epoch 9), train_loss = 5.136, time/batch = 2.166
5200/28300 (epoch 9), train_loss = 5.133, time/batch = 2.128
5250/28300 (epoch 9), train_loss = 5.077, time/batch = 2.168
5300/28300 (epoch 9), train_loss = 5.024, time/batch = 2.220
5350/28300 (epoch 9), train_loss = 4.853, time/batch = 2.203
5400/28300 (epoch 9), train_loss = 4.818, time/batch = 2.161
5450/28300 (epoch 9), train_loss = 4.954, time/batch = 2.125
5500/28300 (epoch 9), train_loss = 4.904, time/batch = 2.165
5550/28300 (epoch 9), train_loss = 4.947, time/batch = 2.165
5600/28300 (epoch 9), train_loss = 5.002, time/batch = 2.206
5650/28300 (epoch 9), train_loss = 4.894, time/batch = 2.242
5700/28300 (epoch 10), train_loss = 5.074, time/batch = 2.215
5750/28300 (epoch 10), train_loss = 4.841, time/batch = 2.202
5800/28300 (epoch 10), train_loss = 4.774, time/batch = 2.175
5850/28300 (epoch 10), train_loss = 4.823, time/batch = 2.172
5900/28300 (epoch 10), train_loss = 4.748, time/batch = 2.174
5950/28300 (epoch 10), train_loss = 4.751, time/batch = 2.208
6000/28300 (epoch 10), train_loss = 4.827, time/batch = 2.185
model saved to save/model.ckpt
6050/28300 (epoch 10), train_loss = 4.794, time/batch = 2.242
6100/28300 (epoch 10), train_loss = 4.740, time/batch = 2.189
6150/28300 (epoch 10), train_loss = 4.562, time/batch = 2.200
6200/28300 (epoch 10), train_loss = 4.611, time/batch = 2.174
6250/28300 (epoch 11), train_loss = 4.811, time/batch = 2.141
6300/28300 (epoch 11), train_loss = 4.763, time/batch = 2.199
6350/28300 (epoch 11), train_loss = 4.695, time/batch = 2.170
6400/28300 (epoch 11), train_loss = 4.553, time/batch = 2.203
6450/28300 (epoch 11), train_loss = 4.649, time/batch = 2.191
6500/28300 (epoch 11), train_loss = 4.527, time/batch = 2.178
6550/28300 (epoch 11), train_loss = 4.598, time/batch = 2.169
6600/28300 (epoch 11), train_loss = 4.728, time/batch = 2.221
6650/28300 (epoch 11), train_loss = 4.627, time/batch = 2.148
6700/28300 (epoch 11), train_loss = 4.518, time/batch = 2.163
6750/28300 (epoch 11), train_loss = 4.623, time/batch = 2.162
6800/28300 (epoch 12), train_loss = 4.687, time/batch = 2.160
6850/28300 (epoch 12), train_loss = 4.649, time/batch = 2.190
6900/28300 (epoch 12), train_loss = 4.680, time/batch = 2.143
6950/28300 (epoch 12), train_loss = 4.644, time/batch = 2.146
7000/28300 (epoch 12), train_loss = 4.526, time/batch = 2.061
model saved to save/model.ckpt
7050/28300 (epoch 12), train_loss = 4.519, time/batch = 2.187
7100/28300 (epoch 12), train_loss = 4.423, time/batch = 2.193
7150/28300 (epoch 12), train_loss = 4.399, time/batch = 2.204
7200/28300 (epoch 12), train_loss = 4.315, time/batch = 2.201
7250/28300 (epoch 12), train_loss = 4.287, time/batch = 2.098
